Date,Open,High,Low,Close,Adj Close,Volume
2022-12-23,106.300003,108.800003,99.650002,102.250000,100.609406,10027095
2022-12-26,101.099998,110.300003,100.000000,108.650002,106.906723,6673241
2022-12-27,108.949997,111.300003,107.599998,109.050003,107.300308,2882417
2022-12-28,109.000000,110.000000,107.599998,108.250000,106.513138,1647847
2022-12-29,108.250000,114.800003,107.550003,113.650002,111.826500,4461116
2022-12-30,114.650002,114.800003,112.199997,113.250000,111.432915,3292942
2023-01-02,113.800003,114.599998,109.400002,110.599998,108.825432,4325036
2023-01-03,111.199997,115.650002,111.050003,112.000000,110.202972,7277321
2023-01-04,112.000000,113.500000,110.099998,111.099998,109.317406,3750336
2023-01-05,111.949997,113.250000,110.099998,111.250000,109.465004,4567169
2023-01-06,111.250000,111.550003,108.550003,110.050003,108.284264,2249931
2023-01-09,111.349998,112.800003,107.500000,108.400002,106.660736,3324129
2023-01-10,108.400002,110.949997,106.250000,109.300003,107.546295,4357661
2023-01-11,109.900002,110.250000,107.699997,108.750000,107.005119,1550452
2023-01-12,109.300003,109.900002,107.099998,108.050003,106.316353,1699776
2023-01-13,108.000000,108.849998,106.000000,106.349998,104.643623,2248376
2023-01-16,106.849998,108.750000,106.000000,106.400002,104.692825,1644128
2023-01-17,106.800003,108.500000,105.250000,107.949997,106.217949,1692179
2023-01-18,108.000000,108.000000,105.300003,105.849998,104.151642,2209996
2023-01-19,105.900002,107.500000,104.699997,106.099998,104.397636,1332537
2023-01-20,106.699997,107.099998,104.500000,105.150002,103.462875,1298201
2023-01-23,105.949997,109.699997,101.250000,108.500000,106.759125,9286373
2023-01-24,109.400002,109.900002,106.500000,108.500000,106.759125,6145975
2023-01-25,108.800003,114.000000,108.500000,109.750000,107.989067,11753270
2023-01-27,110.199997,111.949997,102.099998,104.400002,102.724915,6253820
2023-01-30,103.300003,109.099998,103.099998,104.750000,103.069298,4092900
2023-01-31,104.500000,108.900002,103.050003,107.199997,105.479980,4839245
2023-02-01,108.000000,109.500000,103.000000,104.500000,102.823303,3262469
2023-02-02,103.599998,108.400002,103.550003,107.349998,105.627579,2973986
2023-02-03,108.500000,111.150002,105.550003,105.900002,104.200844,4846653
2023-02-06,106.449997,107.050003,105.400002,106.750000,105.037209,2271851
2023-02-07,107.199997,108.750000,106.699997,107.550003,105.824371,1534596
2023-02-08,107.250000,108.300003,105.000000,105.349998,103.659668,1489484
2023-02-09,105.500000,106.500000,104.050003,104.300003,102.626518,1265904
2023-02-10,104.400002,104.900002,102.699997,104.000000,102.331329,1096137
2023-02-13,104.400002,104.900002,103.500000,103.699997,102.036140,963390
2023-02-14,103.949997,106.300003,103.449997,105.349998,103.659668,1907336
2023-02-15,104.900002,105.349998,103.500000,104.449997,102.774109,1098122
2023-02-16,104.650002,105.300003,103.000000,103.500000,101.839348,1194130
2023-02-17,103.449997,103.449997,99.150002,99.949997,98.346306,1895524
2023-02-20,100.449997,102.500000,98.250000,101.800003,100.166634,2511297
2023-02-21,102.000000,102.250000,99.250000,99.750000,98.149521,994915
2023-02-22,98.300003,99.500000,96.000000,96.650002,95.099258,1585257
2023-02-23,97.949997,103.599998,96.099998,102.150002,100.511017,3248689
2023-02-24,102.150002,102.349998,97.900002,98.699997,97.116364,2068930
2023-02-27,98.699997,99.150002,95.199997,96.550003,95.000870,1806416
2023-02-28,96.550003,103.099998,96.400002,102.000000,100.363419,5257824
2023-03-01,100.599998,102.599998,100.300003,101.150002,99.527061,1484716
2023-03-02,101.199997,101.699997,99.349998,100.050003,98.444710,1876098
2023-03-03,101.099998,103.250000,100.900002,102.199997,100.560204,2154868
2023-03-06,102.750000,104.750000,101.699997,103.849998,102.183731,2809373
2023-03-08,102.050003,104.849998,100.599998,101.849998,100.215820,2510453
2023-03-09,102.250000,105.900002,101.250000,103.949997,102.282127,5505408
2023-03-10,102.599998,103.250000,100.650002,101.300003,99.674652,1542006
2023-03-13,101.000000,101.900002,99.300003,99.599998,98.001923,1375916
2023-03-14,99.900002,100.099998,98.400002,99.050003,97.460754,4535655
2023-03-15,99.900002,100.949997,99.400002,100.150002,98.543106,1620456
2023-03-16,100.000000,100.349998,97.300003,98.349998,96.771980,4037225
2023-03-17,99.099998,101.500000,98.000000,99.449997,97.854332,1561323
2023-03-20,97.650002,100.900002,97.300003,97.599998,96.034012,1074352
2023-03-21,98.750000,100.349998,96.599998,97.400002,95.837227,1768830
2023-03-22,97.900002,99.849998,97.800003,99.000000,97.411552,921633
2023-03-23,98.199997,98.800003,97.050003,97.300003,95.738831,770909
2023-03-24,97.599998,98.250000,96.550003,97.400002,95.837227,1323621
2023-03-27,95.750000,98.800003,92.699997,97.500000,95.935623,4008173
2023-03-28,97.500000,98.500000,96.550003,98.099998,96.525993,1705930
2023-03-29,98.599998,102.000000,98.199997,101.699997,100.068230,2551355
2023-03-31,101.699997,104.900002,101.449997,104.400002,102.724915,2667096
2023-04-03,104.400002,104.849998,99.500000,99.849998,98.247917,2441209
2023-04-05,101.250000,101.250000,96.500000,96.900002,95.345253,3595803
2023-04-06,97.400002,99.000000,96.599998,97.400002,95.837227,1771560
2023-04-10,97.849998,98.099998,95.650002,95.900002,94.361298,1432264
2023-04-11,96.599998,97.650002,96.000000,97.050003,95.492844,1939185
2023-04-12,97.050003,99.650002,97.050003,99.099998,97.509949,2320896
2023-04-13,99.300003,100.500000,98.550003,99.650002,98.051125,2945938
2023-04-17,99.500000,101.000000,97.500000,97.650002,96.083214,2096059
2023-04-18,97.650002,97.900002,95.300003,96.300003,94.754875,3803623
2023-04-19,96.300003,96.849998,94.800003,95.000000,93.475731,2130751
